,image_name,label
0,1041401853295900442,1
1,3136143394889098703,1
2,6937067048974684319-,1
3,4210256373832916377-,1
4,9144725719212731179-,1
5,3433935373277686081,1
6,1692600086958363582,1
7,1640279690454853547,1
8,2299102710861247157-,1
9,4593962404745217940,1
10,5163238084650760246-,1
11,6234093766499892010-,1
12,4053773429444986212,1
13,1275941221680567407,1
14,5925420926214813392-,1
15,4202565998458115580,1
16,6861004423496947567-,1
17,5114392976414872012,1
18,2469201479262012817-,1
19,8061103562307095970,1
20,7904098619637355210-,1
21,7333018687764009195-,1
22,7125617809932938680,1
23,7434827749116181116,1
24,7554431018392153887,1
25,3539504144138326752-,1
26,4268873830341241181,1
27,8233093952733516745-,1
28,4761696781222418788,1
29,8297322013352385089-,1
30,4684363236421041230-,1
31,2078500491070688684,1
32,5398993261467594469-,1
33,5543838297512321321,1
34,1404572857258319365,1
35,8948391912016797511,1
36,6257211880970812738,1
37,3978401386198974067,1
38,8714960989372691360,1
39,5890480971675254106,1
40,6679512095117685121,1
41,2150209414287676832-,1
42,5802994754989378231-,1
43,676374586943984327-,1
44,6491121279016745001,1
45,3879184296280201867,1
46,6183844663547835121,1
47,6369688876110039792,1
48,8806298961161729968-,1
49,6540497739045162918,1
50,9069340085806257520-,1
51,3737942053385405164,1
52,4604427823710517973-,1
53,5367407638603207548,1
54,8899833201177593709-,1
55,188096442157470290,1
56,4625393089983468714,1
57,950096081048370194,1
58,4098415617707080354,1
59,3262327153325813051-,1
60,8289498936113956103,1
61,1980183513132728313,1
62,1419887936060930297-,1
63,2747832495416827042,1
64,3431682800318852594,1
65,5379172810972156205,1
66,4819144282511288709,1
67,9071796342590036928-,1
68,3749044303620660781-,1
69,5805008474726434461,1
70,3906655584959044256,1
71,7751524076247993033-,1
72,3575697501731641293-,1
73,4163302758812967256-,1
74,6983015018754785820-,1
75,8226538404251887842,1
76,1827275345762520005-,1
77,4312155891243737414-,1
78,8679903083135958089-,1
79,2109587506910136087,1
80,3672250878282226640,1
81,5345268133842899265-,1
82,4647592701393276392,1
83,5189058776394913879,1
84,5910742299866584114-,1
85,6092876986647274020,1
86,2128398944390495906,1
87,3106443045165028577-,1
88,5597458763522539035,1
89,8348941694488644660-,1
90,5291633825195158887,1
91,5509209288748222257,1
92,6610740984943157264-,1
93,417698004581987843,1
94,8444529669987442757,1
95,7484716492398291235,1
96,6092107772992054451,1
97,5190497034359876006-,1
98,6109490692260202493,1
99,7467109416595711996,1
100,1540544653042116489,1
101,7680221447989349014-,1
102,6410778427889393663-,1
103,5486851175556484306,1
104,6034233887561803633-,1
105,1101935439914480408-,1
106,7135415921279152514,1
107,3849724747075451016,1
108,4810378976306313777,1
109,1954946008165523227,1
110,451721592448299623-,1
111,835454102598038106-,1
112,3397711036635572158,1
